able                 : 有能力的
about                : 有關
above                : 在上方
abroad               : 在國外
across               : 在…對面
actress              : 女演員
afraid               : 害怕的
after                : 在…之後
afternoon            : 下午
again                : 再度
age                  : 年齡
ago                  : …之前
agree                : 同意
ahead                : 向前
air                  : 空氣
airplane             : 飛機
airport              : 機場
all                  : 全部的
almost               : 幾乎
along                : 沿著
already              : 已經
also                 : 也
always               : 總是
am                   : 是
america              : 
american             : 
an                   : 一個
and                  : 和
angry                : 生氣的
animal               : 動物
another              : 另外的
answer               : 答案
ant                  : 螞蟻
any                  : 任何的
anyone               : 任何人
anything             : 任何事物
apartment            : 公寓
appear               : 出現
apple                : 蘋果
april                : 四月
arm                  : 手臂
around               : 在附近
arrive               : 到達
art                  : 藝術
as                   : 像，如同
ask                  : 詢問
at                   : 在
august               : 八月
aunt                 : 姑媽
autumn               : 秋天
away                 : 不在
baby                 : 嬰兒
back                 : 背部
bad                  : 壞的
badminton            : 羽毛球
bag                  : 袋子
bake                 : 烘烤
bakery               : 麵包店
balcony              : 陽臺
ball                 : 球
banana               : 香蕉
band                 : 樂團
bank                 : 銀行
barbecue             : 火烤
baseball             : 棒球
basket               : 籃子
basketball           : 籃球
bat                  : 蝙蝠
bath                 : 沐浴
bathroom             : 浴室
be                   : 是
beach                : 沙灘
bean                 : 豆子
bear                 : 熊
beautiful            : 美麗的
because              : 因為
become               : 成為
bed                  : 床
bedroom              : 臥室
bee                  : 蜜蜂
beef                 : 牛肉
before               : 在…之前
begin                : 開始
behind               : 在之後
believe              : 相信
bell                 : 鈴
belong               : 屬於
below                : 在下面
belt                 : 皮帶
bench                : 長凳
beside               : 
between              : 在…之間
big                  : 大的
bike                 : 
bird                 : 鳥
birthday             : 生日
bite                 : 咬
black                : 黑的
blackboard           : 黑板
blade                : 
blanket              : 毯子
blind                : 失明的
block                : 街區
blow                 : 吹
blue                 : 藍的
boat                 : 船
body                 : 身體
boil                 : 燒開
book                 : 書
bookstore            : 
bored                : 厭倦的
boring               : 
born                 : 天生的
borrow               : 借
boss                 : 老闆
both                 : 兩者
bottle               : 瓶子
bottom               : 底部
bow                  : 弓
bowl                 : 碗
box                  : 箱子
boy                  : 男孩
bread                : 麵包
break                : 弄壞
breakfast            : 早餐
bridge               : 橋
bright               : 明亮的
bring                : 帶來
brother              : 兄弟
brown                : 棕色的
brush                : 刷子
bug                  : 昆蟲
build                : 建造
bun                  : 圓麵包
burn                 : 燒
bus                  : 公車
business             : 商業
businessman          : 商人
busy                 : 忙碌的
but                  : 但是
butter               : 奶油
butterfly            : 蝴蝶
buy                  : 買
by                   : 沿；用…方法
cage                 : 鳥籠
cake                 : 蛋糕
call                 : 呼叫
camera               : 照相機
camp                 : 紮營
can                  : 能夠
candle               : 蠟燭
candy                : 糖果
cap                  : 帽子
car                  : 車子
card                 : 卡片
care                 : 關心
careful              : 小心的
carry                : 拿，運送
case                 : 例子
castle               : 城堡
cat                  : 貓
catch                : 追捕
celebrate            : 慶祝
cell                 : 細胞
cent                 : 分
center               : 中央
centimeter           : 公分
chair                : 椅子
chalk                : 粉筆
chance               : 機會
change               : 改變
cheap                : 便宜的
cheat                : 欺騙
check                : 檢查
cheer                : 歡呼
cheese               : 起司
chess                : 西洋棋
chicken              : 雞
child                : 小孩
china                : 
chinese              : 
chocolate            : 巧克力
choose               : 選擇
chopsticks           : 筷子
christmas            : 耶誕節
church               : 教堂
circle               : 圓圈
city                 : 城市
clap                 : 拍(手)
class                : 班級
classmate            : 同學
classroom            : 班級
clean                : 乾淨的
clear                : 清楚的
clerk                : 店員
climb                : 攀爬
clock                : 時鐘
close                : 關
clothes              : 衣服
cloudy               : 
club                 : 俱樂部
coat                 : 大衣
coffee               : 咖啡
coke                 : 可樂
cold                 : 冷的
collect              : 收集
color                : 顏色
come                 : 來
comfortable          : 舒服的
comic                : 
common               : 共同的
computer             : 電腦
convenient           : 方便的
cook                 : 煮
cookie               : 點心
cool                 : 涼的
copy                 : 複製
corner               : 角落
correct              : 正確的
cost                 : 花費
couch                : 長沙發
count                : 計數
country              : 國家
course               : 課程
cousin               : 表(堂)兄弟姊妹
cover                : 覆蓋
cow                  : 母牛
cowboy               : 牛仔
crazy                : 瘋狂的
cream                : 乳液
cross                : 穿過
cry                  : 哭
cup                  : 杯子
cut                  : 切割
cute                 : 可愛的
dance                : 跳舞
dangerous            : 危險的
dark                 : 黑的
date                 : 日期
daughter             : 女兒
day                  : 一天
dead                 : 死的
dear                 : 親愛的
december             : 十二月
decide               : 決定
delicious            : 美味的
dentist              : 牙醫
department           : 部門
desk                 : 書桌
dictionary           : 字典
